Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,293253.00893186854,293253.01617891435,135372
0,1,20904.90390993232,20904.904419951556,1081030,29262.88388859398,29262.884606951626,135372
0,2,158.40361634669725,158.4036205734891,1081030,109.52577541356953,109.52577810132522,135372
0,3,138.09475474017134,138.0947584814819,1081030,163.3447576322795,163.3447613962644,135372
0,4,136.45610876362102,136.45611225513454,1081030,156.7633113551175,156.7633152656048,135372
0,5,136.0243495577051,136.02435282976415,1081030,121.92681692058613,121.9268202337944,135372
1,1,948.4071667989095,948.4071931918747,167357,292.64416155133927,292.6441667829241,20979
1,2,108.75172786188524,108.751730281962,167357,54.27494085402716,54.27494281587147,20979
2,1,114.85688995325127,114.85689336068548,168514,801.9167237458406,801.9167418303313,21410
2,2,76.53597568815148,76.53597768600301,168514,39.03604186022723,39.03604223110057,21410
3,1,136.5774126957651,136.57741540806893,183328,146.93027383555537,146.93027688731317,22966
3,2,70.08003507965654,70.0800366292473,183328,38.02084868057914,38.02084939376168,22966
4,1,154.40909338099982,154.40909751153762,185963,472.1767356416099,472.176747900808,23318
4,2,62.4275500307801,62.42755135361866,185963,37.10301743205796,37.10301841018546,23318
5,1,226.27083800495535,226.27084145568995,165524,1294.526320966702,1294.5263428919523,20483
5,2,89.08624061639757,89.08624245003226,165524,48.639772729966246,48.6397739891867,20483
6,1,244.0850125483747,244.08501755516485,169552,545.5845873110762,545.5846024272598,21250
6,2,104.3500819925992,104.35008316669824,169552,57.15002730182398,57.15002901309004,21250
7,1,207.24871544804134,207.24871853226466,28037,238.10722859700522,238.10724046495227,3487
7,2,131.94384270525993,131.9438450860639,28037,58.992426766289604,58.99242973327637,3487
