Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,179423.83376736112,179423.83622685185,21582
0,1,2673.134028636109,2673.1340661635254,172355,518.0038197835287,518.0038344771774,21582
0,2,378.5396121438861,378.53962010961123,172355,250.75583592167607,250.7558443987811,21582
0,3,325.6134203581135,325.6134293593829,172355,133.083653555976,133.08365793581362,21582
0,4,334.7952961224691,334.79530595571424,172355,99.21527657685456,99.21527954384133,21582
0,5,325.9405741326494,325.9405817000883,172355,100.5821344587538,100.58213686060023,21582
0,6,321.6251285579531,321.6251340454526,172355,96.92361711572718,96.9236200120714,21582
0,7,335.0017106394757,335.00171864060405,172355,127.66228174280238,127.66228174280238,21582
0,8,336.91593946381676,336.91594733218307,172355,122.243243182147,122.24324636106138,21582
0,9,318.2127315229164,318.2127400816455,172355,115.07349664193613,115.07349932635272,21582
0,10,323.59317577742644,323.59318217655897,172355,147.8802115122477,147.88021539758753,21582
1,1,442.80068243746115,442.80069637628577,57710,181.1473469204373,181.14734988742404,7139
1,2,342.84188850693226,342.84189666431257,57710,109.805177476671,109.8051798078749,7139
2,1,458.3878106337327,458.38782394515886,57055,522.6537382337782,522.6537611219618,7000
2,2,355.4872307677369,355.487240557904,57055,106.7738889058431,106.77389102511935,7000
3,1,464.69649913575915,464.69651590453253,57585,163.84256558804898,163.84257012444573,7228
3,2,307.68939598401386,307.68940075238544,57585,106.3372699634449,106.33727491224134,7228
4,1,512.5649471018049,512.5649547576904,57457,276.6182333456503,276.6182415936444,7297
4,2,314.96435228983563,314.964358303282,57457,118.4094337257179,118.40943558151658,7297
5,1,434.26740839709976,434.2674270525371,58297,457.1570836117393,457.1570844148335,7537
5,2,296.4325991591362,296.4326105509719,58297,93.41858733327766,93.41859014410721,7537
6,1,444.74282271109973,444.74283320791767,59485,413.74753931949016,413.7475497597142,7504
6,2,284.788730186104,284.78873819952844,59485,98.49196423982319,98.49196504291736,7504
7,1,419.909743670121,419.909759299269,61660,139.97171529134116,139.97171626946866,7676
7,2,253.89487309131806,253.89488086885618,61660,118.08057071001102,118.08057755690355,7676
8,1,355.3706245061351,355.3706332667017,63393,287.46195220947266,287.46196365356445,7886
8,2,229.3809858015283,229.38099102417377,63393,90.809006690979,90.80901126861572,7886
9,1,334.86068010781463,334.86068646163216,63263,1259.8800048828125,1259.8800506591797,7980
9,2,231.56691513302198,231.56691871907807,63263,80.29648380279541,80.29648685455322,7980
10,1,291.7643725759223,291.76437929075223,63372,161.31662143805087,161.3166300455729,7799
10,2,173.51035969490508,173.510363810446,63372,69.39000369340945,69.39000633435371,7799
11,1,285.1968925839379,285.1968948727562,62908,83.56244125366212,83.56244220733643,7945
11,2,147.45145258827816,147.45145497397772,62908,58.30217018127441,58.30217294692993,7945
12,1,259.50505005938453,259.50505480976227,63503,317.7996032714844,317.7996170043945,7914
12,2,134.90781376196904,134.90781701285883,63503,68.36799783706665,68.36799974441529,7914
13,1,255.90922639308832,255.9092349150242,62312,143.53265132904053,143.53265209197997,7802
13,2,125.15833677389683,125.1583391947624,62312,49.47648181915283,49.476482677459714,7802
14,1,250.86245965645983,250.86246421913697,61182,202.84655801873458,202.84656645122328,7547
14,2,126.35392182792714,126.3539240718667,61182,46.34573836075632,46.34574006733141,7547
15,1,273.2848745000442,273.2848825518717,59493,176.43619095651727,176.436194570441,7535
15,2,131.36336361161815,131.36336654304657,59493,48.21519831607216,48.21519811529862,7535
16,1,309.1685357587091,309.16854603208344,57803,6149.468885633681,6149.468994140625,7168
16,2,384.39356734177164,384.3935845210634,57803,155.1533489227295,155.15335273742676,7168
17,1,332.68611999511717,332.6861241149902,54842,1273.1538190569197,1273.1538539341518,6863
17,2,159.77625133167615,159.77625821200283,54842,50.44248275756836,50.442483520507814,6863
18,1,275.24663128818037,275.2466410337573,54712,106.26808406284877,106.26808667864118,6948
18,2,121.95809685922887,121.95809825145415,54712,46.434633309500555,46.43463385445731,6948
19,1,266.3075166508771,266.3075208525727,55035,134.09688907199435,134.09689331054688,7003
19,2,118.08592510223389,118.08592721690302,55035,42.66983037524753,42.66983185874091,7003
20,1,228.17295445224696,228.17295857479698,56885,164.5204145643446,164.5204209221734,7115
20,2,115.51959232531095,115.51959514952543,56885,43.95517116122775,43.9551723268297,7115
21,1,269.1265380508908,269.1265479852791,56594,50.00774125795107,50.00774321684966,7292
21,2,120.43087655326924,120.43087860215257,56594,38.68625053199562,38.68625063509555,7292
22,1,263.34509327946876,263.34510016927914,58708,348.4188133445946,348.4188339645798,7330
22,2,118.98227737063453,118.98228084797762,58708,45.97661518406223,45.97661518406223,7330
23,1,284.8951609991734,284.89516855376996,61020,1420.4285262670273,1420.4285732171475,7742
23,2,153.95005175023297,153.95005517847397,61020,64.50178762582632,64.50179075583434,7742
24,1,260.4957020597638,260.4957124842038,63600,822.1086288452149,822.1086624145507,7894
24,2,129.45223839477924,129.45224313316106,63600,46.88201503753662,46.88201694488525,7894
25,1,265.82648192839724,265.8264883885812,64464,207.7366153717041,207.73662033081055,7954
25,2,136.4155016093062,136.41550592003222,64464,61.033837699890135,61.03384027481079,7954
26,1,307.03405339074516,307.03406080215694,62855,762.2621688842773,762.2621810913085,7833
26,2,165.73754559471493,165.7375497727167,62855,48.99564447402954,48.995645427703856,7833
27,1,343.3117993283434,343.3118037917987,58644,165.4001235961914,165.40013323332133,7531
27,2,175.86428175167163,175.86428673413334,58644,51.88197778400622,51.88198059483578,7531
28,1,386.857844043881,386.8578510488055,56066,3237.235219029018,3237.2353585379465,6941
28,2,228.28451904622685,228.28452453070264,56066,77.91853441510882,77.91853703090123,6941
29,1,408.4935851337241,408.4935990203199,55472,227.83722148222083,227.8372210334329,6733
29,2,226.01787847066097,226.01788319100578,55472,83.24439800486846,83.24439845365636,6733
30,1,395.88660798249424,395.8866199917263,53986,1637.525844029018,1637.5258370535714,6809
30,2,265.6358826390019,265.63589080527976,53986,64.07440665108817,64.07440817696708,6809
31,1,486.4653636821802,486.4653744904891,55161,598.7521868024554,598.7522042410715,6925
31,2,274.4730137811191,274.47302116172904,55161,86.78404976981027,86.78405064174108,6925
32,1,415.8884994614292,415.8885051028829,56606,1448.027103000217,1448.0271640353733,7093
32,2,326.24650407173266,326.246523145219,56606,157.1117312113444,157.1117329067654,7093
33,1,396.3988195769102,396.39883269735685,57785,909.8503038561022,909.8503368480785,7232
33,2,287.09001061990597,287.09001716692967,57785,87.2351923762141,87.23519526301203,7232
34,1,376.8716800770861,376.8716916023417,28037,217.22219763861762,217.22220357259116,3487
34,2,298.3654111496946,298.36542272905933,28037,70.00351672702365,70.00351799858942,3487
