Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,182693.3388310185,182693.34389467593,21582
0,1,2907.6502571194465,2907.650312171458,172355,626.2771001745153,626.277109781901,21582
0,2,445.0411776389987,445.0411903399049,172355,228.28800441600657,228.2880095022696,21582
0,3,375.9572600787311,375.95726911540373,172355,136.5541395964446,136.5541412918656,21582
0,4,382.14336666983405,382.14337297160773,172355,151.00107913547092,151.00108485751682,21582
0,5,382.7515464127755,382.751555546807,172355,143.7810023272479,143.78100529423466,21582
0,6,390.06319072572927,390.06319987746235,172355,129.98346095614963,129.98346116807727,21582
0,7,370.990157886337,370.99016620609433,172355,134.2994213104248,134.2994226526331,21582
0,8,388.3831695857568,388.3831755600507,172355,153.34496526364927,153.3449697141294,21582
0,9,389.0413348293083,389.0413445740454,172355,129.06811509308992,129.0681177775065,21582
0,10,380.929155301052,380.929165098894,172355,136.83161036173502,136.83161558928313,21582
1,1,22018.243273461154,22018.244150234343,57710,30198.889214409723,30198.889973958332,7139
1,2,2229.1173604681417,2229.1174424115347,57710,652.4490983751085,652.4491170247396,7139
2,1,19378.900053224363,19378.900682142565,57055,21343.77197265625,21343.772026909723,7000
2,2,1979.3385314941406,1979.3385840996161,57055,545.7686208089193,545.7686140272352,7000
3,1,12741.69184176127,12741.692060470581,57585,7430.071896114865,7430.071922508446,7228
3,2,1047.6100056966145,1047.6100302802192,57585,420.1666672165329,420.1666845373205,7228
4,1,15941.121479670206,15941.121798197428,57457,5033.420040646115,5033.420027449324,7297
4,2,1014.6739813486735,1014.6740043428209,57457,512.0981494800465,512.0981651512352,7297
5,1,2088.155756806674,2088.155801642431,58297,4939.669562088816,4939.669639185855,7537
5,2,737.6655039330051,737.6655218046005,58297,298.81850875051396,298.8185207969264,7537
6,1,9420.867612697934,9420.867866669725,59485,8050.088109066612,8050.088160464638,7504
6,2,956.9485269840932,956.94855350776,59485,430.9365354839124,430.93655877364307,7504
7,1,2527.980205153184,2527.980273694282,61660,1928.4881873497595,1928.4882342998799,7676
7,2,551.6227545383293,551.6227687107321,61660,283.46275407840045,283.4627658159305,7676
8,1,6312.027577397199,6312.027768396805,63393,1403.6187622070313,1403.6188079833985,7886
8,2,554.0114671484529,554.0114856804207,63393,284.5594795227051,284.55948104858396,7886
9,1,4524.224450722102,4524.224542852456,63263,8118.184387207031,8118.18427734375,7980
9,2,787.3089181316387,787.3089440763937,63263,232.44476928710938,232.44477195739745,7980
10,1,2234.1163712269877,2234.1163743076263,63372,1151.076167179988,1151.0762094350962,7799
10,2,386.88383204703825,386.88384109641476,63372,149.89649102626703,149.89649220002002,7799
11,1,3702.1982264927456,3702.198343573676,62908,4418.133624267578,4418.133636474609,7945
11,2,431.5888423859127,431.5888471330915,62908,161.15530891418456,161.15531539916992,7945
12,1,4291.2398946510175,4291.24002017615,63503,3033.777484130859,3033.777557373047,7914
12,2,418.6309854279524,418.63099125796145,63503,148.4014326095581,148.40143299102783,7914
13,1,4056.173223788922,4056.1733279105943,62312,1047.7312911987306,1047.7313079833984,7802
13,2,334.6149062376756,334.6149118130024,62312,179.64920082092286,179.64920349121093,7802
14,1,5488.1038432401765,5488.104030334872,61182,6825.7245065789475,6825.72464792352,7547
14,2,537.5165746352252,537.5165894950917,61182,159.34577460038034,159.34578022203948,7547
15,1,5342.230941516441,5342.231062409061,59493,395.8400091873972,395.8400172183388,7535
15,2,324.2709892580173,324.2709970410238,59493,129.16460258082338,129.16460880480315,7535
16,1,5677.084337589658,5677.084480864426,57803,23046.269856770832,23046.270616319445,7168
16,2,1158.0987316263133,1158.098715841359,57803,568.321521335178,568.3215391370985,7168
17,1,7916.968059193005,7916.968239413175,54842,4822.217703683035,4822.21787109375,6863
17,2,478.95823408647016,478.95824945623224,54842,179.10904061453684,179.10904279436383,6863
18,1,1171.6249655841912,1171.6249935400747,54712,146.87233014787947,146.87233276367186,6948
18,2,287.1933004560262,287.1933079740427,54712,188.48176705496653,188.48177185058594,6948
19,1,1827.9468937196593,1827.946926061658,55035,1009.0247836642795,1009.0248006184896,7003
19,2,311.2469782345537,311.24699219413424,55035,166.18472046322293,166.18471919165717,7003
20,1,1100.0403532864755,1100.040393815961,56885,275.90508482191296,275.9050890604655,7115
20,2,229.60560155500445,229.605609184399,56885,124.89403639899359,124.89403809441461,7115
21,1,1301.127487991387,1301.1275177541133,56594,1133.8885630014781,1133.8885794974663,7292
21,2,280.3471695323715,280.3471779166178,56594,124.31628624168602,124.3162889222841,7292
22,1,768.8893935015412,768.889420282273,58708,838.6421657252956,838.6421855204815,7330
22,2,259.2751728239514,259.27517609369187,58708,114.14456857217324,114.14457084037163,7330
23,1,666.2689269570743,666.2689417670755,61020,1239.6011305588943,1239.6011399489182,7742
23,2,235.33261435016308,235.33261933669544,61020,126.28800944792918,126.28801336043921,7742
