Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,176943.0747974537,176943.07855902778,21582
0,1,43817.64542794283,43817.64654895048,172355,33626.009114583336,33626.01032624421,21582
0,2,33738.61759987674,33738.61858323666,172355,33623.19419126157,33623.19435402199,21582
0,3,33736.325956623405,33736.32662956786,172355,33630.06626157407,33630.0673828125,21582
0,4,33736.16106257251,33736.16181482019,172355,33621.20026765046,33621.20138888889,21582
0,5,33739.62922119707,33739.63004595055,172355,33623.64760561343,33623.64807581018,21582
0,6,33736.70103139501,33736.70169074464,172355,33626.17035590278,33626.171006944445,21582
0,7,33738.52734375,33738.528263667344,172355,33619.71600115741,33619.71694155093,21582
0,8,33736.14904926769,33736.149919337295,172355,33622.95073784722,33622.95166015625,21582
0,9,33738.75990157338,33738.76064475783,172355,33623.03662109375,33623.03709129051,21582
0,10,33736.7867830989,33736.78781404075,172355,33625.45258246528,33625.45388454861,21582
1,1,34146.28929227941,34146.29004244161,57710,34716.69292534722,34716.694661458336,7139
1,2,34113.39739673443,34113.39850508218,57710,34742.30544704861,34742.306315104164,7139
2,1,33041.84455583479,33041.84497923951,57055,31590.62912326389,31590.629937065973,7000
2,2,32834.48976316652,32834.49061680507,57055,31589.2333984375,31589.234917534723,7000
3,1,30904.17576090495,30904.176445855035,57585,31102.36937816723,31102.369985219593,7228
3,2,30744.47469753689,30744.475490993922,57585,31250.89500633446,31250.895164695947,7228
