Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,194841.41203703705,194841.41377314815,21582
0,1,58689.93927922437,58689.94102899326,172355,4530.313214337384,4530.313363534433,21582
0,2,4647.0308914361585,4647.031004443246,172355,3895.2398930302375,3895.24001510055,21582
0,3,4206.505904124674,4206.505990508537,172355,4071.3729767975983,4071.3730898256654,21582
0,4,4194.855678620305,4194.855773500943,172355,3924.8151177300347,3924.81512677228,21582
0,5,4184.465319569315,4184.465430310596,172355,3856.055413140191,3856.05547869647,21582
1,1,2391.6675419262947,2391.6676126763896,57710,2116.3590630425347,2116.3590799967446,7139
1,2,1459.7517972635976,1459.751845627095,57710,1254.2630632188584,1254.2630971272786,7139
2,1,914.7061062259274,914.7061306613308,57055,1332.3567827012803,1332.3567657470703,7001
2,2,718.0941103955249,718.0941252274947,57055,537.7430432637533,537.7430644565159,7001
3,1,701.2970042228699,701.2970205412971,57585,1055.8752358926308,1055.8752672350086,7228
3,2,524.1721350881788,524.1721467441982,57585,403.2734638935811,403.2734770903716,7228
4,1,460.6157274776035,460.61574053764343,57457,743.7456104175465,743.745641759924,7297
4,2,351.9582733578152,351.9582824707031,57457,226.7370376586914,226.73703477189346,7297
5,1,393.51286342046035,393.5128750213205,58297,3533.8226768092104,3533.8227860300162,7537
5,2,278.99593901960816,278.9959450029347,58297,143.45992670561137,143.45993212649697,7537
6,1,321.62671963480494,321.62672434557203,59485,289.27893508108036,289.27893749036286,7504
6,2,214.6706137561158,214.67062087347043,59485,95.88168274728875,95.8816869635331,7504
7,1,245.80016152835586,245.80016739237269,61660,362.2099382449419,362.2099429399539,7676
7,2,152.3112704946771,152.3112739513607,61660,84.97298040145483,84.97298225989708,7676
8,1,224.12485347711703,224.12485948195592,63393,1985.5711364746094,1985.5711944580078,7886
8,2,149.9467417358976,149.94674679007065,63393,52.28079271316528,52.2807936668396,7886
9,1,205.0818111166969,205.08181573765512,63263,451.9246490478516,451.9246536254883,7980
9,2,143.3634053058805,143.3634093732864,63263,58.76094703674316,58.760949802398684,7980
10,1,153.029959886232,153.02996307517452,63372,824.5702232947716,824.5702405098157,7799
10,2,106.35551039879255,106.35551254079921,63372,35.95406532287598,35.95406757256924,7799
11,1,130.81818873087565,130.8181936112661,62908,653.7990982055665,653.7991195678711,7945
11,2,84.00933859688895,84.0093403528607,62908,48.148633575439455,48.14863471984863,7945
12,1,128.58160935407915,128.58161078159165,63503,574.1385200500488,574.1385208129883,7914
12,2,81.86061237143271,81.8606142967752,63503,39.35217237472534,39.35217308998108,7914
13,1,116.73893647316174,116.7389399332878,62312,3994.1516357421874,3994.151690673828,7802
13,2,79.10813217285352,79.10813401295589,62312,28.8942937374115,28.894294834136964,7802
14,1,119.74168157889173,119.74168574264625,61182,435.4788191945929,435.47882642244036,7547
14,2,73.6747903574526,73.6747925764595,61182,29.069936752319336,29.069937354639958,7547
15,1,104.5870559103537,104.58705854735919,59493,261.1321130049856,261.1321178235506,7535
15,2,69.48044189990767,69.48044273837301,59493,41.758991040681536,41.75899334957725,7535
16,1,115.36352418044518,115.36352595625253,57803,805.3062896728516,805.3063134087456,7168
16,2,102.67896861372323,102.67897089596453,57803,283.57631344265405,283.5763117472331,7168
17,1,125.53432705965909,125.53433072176847,54842,232.01170392717634,232.01171046665738,6863
17,2,85.3881857993386,85.38818757490678,54842,39.21135569981166,39.21135580880301,6863
18,1,89.21046009202944,89.21046131718768,54712,137.72142312186105,137.72142617361885,6948
18,2,70.28397403494284,70.283975420207,54712,34.55309328351702,34.553094482421876,6948
19,1,79.62631387986998,79.62631658194722,55035,197.77496804131403,197.7749743991428,7003
19,2,60.94157160192296,60.9415730047917,55035,46.38701375325521,46.38701576656766,7003
20,1,69.27455567477043,69.27455750180964,56885,516.227653503418,516.227668762207,7115
20,2,52.156889162565534,52.15689031366716,56885,32.62255758709378,32.62255785200331,7115
21,1,68.99393244766937,68.99393376192019,56594,384.57144247519005,384.5714556719806,7292
21,2,52.05236963332752,52.05237097453734,56594,26.852947338207347,26.852948266106683,7292
22,1,69.92879111101838,69.92879271993831,58708,500.356915448163,500.35692534575594,7330
22,2,48.78457413238733,48.7845758970092,58708,24.965518229716533,24.965519415365684,7330
23,1,82.67762525097217,82.67762745127959,61020,517.6394457694812,517.6394520294972,7742
23,2,52.88440851448408,52.88440991694631,61020,33.10402048551119,33.10402077894945,7742
24,1,87.97292188128586,87.97292336277992,63600,275.95100593566895,275.95099754333495,7894
24,2,52.431104702019844,52.431106255489325,63600,31.807780933380126,31.80778102874756,7894
25,1,89.77182045809624,89.77182187532124,64464,191.60868339538575,191.60868644714355,7954
25,2,51.10453714896282,51.104538459895934,64464,31.388706922531128,31.38870768547058,7954
26,1,96.42187360733274,96.42187638055711,62855,696.7839752197266,696.7839767456055,7833
26,2,54.44577415708512,54.4457754952567,62855,42.59441699981689,42.59441747665405,7833
27,1,126.95670871345364,126.9567116717903,58644,1656.6787623355262,1656.6787816097863,7531
27,2,71.75487757053504,71.75487902375306,58644,45.03670120239258,45.036702607807364,7531
28,1,144.51084779080972,144.5108500307565,56066,1019.1057809012277,1019.1058297293526,6941
28,2,77.9606915402667,77.96069525993592,56066,59.3267087663923,59.32671116420201,6941
29,1,167.70212296959306,167.702128279981,55472,257.25586161893955,257.2558687995462,6733
29,2,89.23860898463846,89.23861031566592,55472,48.41538653654211,48.41538777070887,6733
30,1,174.6310182924624,174.6310201574255,53986,3051.9260323660715,3051.926109095982,6809
30,2,95.11444350348579,95.11444623028791,53986,48.31697540283203,48.31697703770229,6809
31,1,179.9581467587015,179.95815055957738,55161,503.86888340541293,503.8688825334821,6925
31,2,112.92339511539625,112.92339834959611,55161,65.84313038417271,65.84313234601701,6925
32,1,197.4237135094656,197.4237159406635,56606,729.0422583685981,729.0422956678602,7093
32,2,159.75773787162674,159.75774084010595,56606,145.7999610900879,145.79996490478516,7093
33,1,183.9431203294378,183.94312642767355,57785,302.498553301837,302.49854959023963,7232
33,2,108.07807419456825,108.07807624051316,57785,51.16361092232369,51.163612159522806,7232
34,1,146.2641619147984,146.26416678462468,28037,1539.4386867947048,1539.4387885199653,3487
34,2,106.46900163474658,106.46900277103938,28037,55.155857510036896,55.155857510036896,3487
