Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,185946.50072337964,185946.5054976852,21582
0,1,3833.436162572449,3833.4362410613944,172355,1779.483738651982,1779.483770299841,21582
0,2,730.981900385527,730.9819174498804,172355,369.4122125131112,369.4122274893302,21582
0,3,578.4322706253512,578.4322889642207,172355,314.27275113706236,314.2727569297508,21582
0,4,524.0688343800414,524.0688488953627,172355,277.09506296228477,277.0950698852539,21582
0,5,515.9354933099238,515.9355024793585,172355,296.4412949173539,296.4412983081959,21582
0,6,529.2258494436879,529.2258636403803,172355,272.2966141877351,272.29661447030526,21582
0,7,536.9837691269452,536.9837846335569,172355,283.27827467741787,283.27828456737376,21582
0,8,534.7732911607782,534.773303427995,172355,287.7549654642741,287.7549743652344,21582
0,9,522.2114361189911,522.2114498377399,172355,277.76924472384985,277.76925320095484,21582
0,10,536.3177645477507,536.3177775584352,172355,285.7208839699074,285.7208947075738,21582
1,1,1814.717031511881,1814.7170641414023,57710,4324.700873480902,4324.700995551215,7139
1,2,593.8059141693643,593.8059314872979,57710,302.4076288011339,302.4076326158312,7139
2,1,2054.9204047143044,2054.9204400335993,57055,1297.0567491319443,1297.0567525227864,7000
2,2,489.04114068304744,489.04115748905633,57055,173.00776290893555,173.00776460435657,7000
3,1,3343.5169676674736,3343.5170623991226,57585,2930.6616276921454,2930.661667282517,7228
3,2,623.2504159609476,623.2504233784146,57585,249.92634788719383,249.92635654758763,7228
4,1,3002.099892086453,3002.0999302334258,57457,1175.44708416913,1175.4471171611065,7297
4,2,527.0121518241035,527.0121581819323,57457,186.0147404026341,186.0147424646326,7297
5,1,1959.3470664873514,1959.3470955940143,58297,815.483308490954,815.4833149157072,7537
5,2,450.66233073195366,450.6623430121435,58297,118.84973706697163,118.84973726774517,7537
6,1,1259.3353857258023,1259.3354204933116,59485,493.12864283511516,493.12865729081005,7504
6,2,368.29223719859283,368.2922503324163,59485,182.15801881489,182.15801881489,7504
7,1,1324.3198650569977,1324.3198950313827,61660,5482.268116486378,5482.268154046475,7676
7,2,468.48178204286444,468.4817984621116,61660,121.5213873447516,121.5213883228791,7676
8,1,1232.8798838714697,1232.8799426924168,63393,713.3623550415039,713.3623718261719,7886
8,2,296.66596469818984,296.66597442145604,63393,106.11096649169922,106.11096954345703,7886
9,1,780.9284161107397,780.9284283851599,63263,1676.5210510253905,1676.5210540771484,7980
9,2,283.151940282587,283.1519508722829,63263,113.62063083648681,113.62063121795654,7980
10,1,864.8686587457025,864.8686826206532,63372,158.2384976118039,158.23850661057693,7799
10,2,207.45237861898042,207.4523833843436,63372,65.29448572794597,65.29448876014122,7799
11,1,912.072865682935,912.072888764881,62908,116.47599143981934,116.47599582672119,7945
11,2,158.92621315850153,158.92621457538908,62908,60.69646797180176,60.696468925476076,7945
12,1,931.4260167295828,931.4260188888454,63503,1696.292044067383,1696.2920837402344,7914
12,2,201.15208418264328,201.15208917293907,63503,90.43930130004883,90.43930263519287,7914
13,1,872.0851161663348,872.0851306670751,62312,1852.6795013427734,1852.6795806884766,7802
13,2,226.2241662710141,226.2241711983314,62312,56.7659294128418,56.76592931747437,7802
14,1,942.7818432976218,942.7818630193573,61182,802.0525737561678,802.0526026675576,7547
14,2,180.72382711273391,180.72383031658097,61182,64.12915149487947,64.12915159526624,7547
15,1,1651.709020345803,1651.709042030693,59493,1175.9955347964637,1175.995550858347,7535
15,2,263.0863940731791,263.08640057608585,59493,92.838109869706,92.83811227898849,7535
16,1,885.991936098296,885.9919528040392,57803,5806.830973307292,5806.8310546875,7168
16,2,610.541639946247,610.5416368418727,57803,312.70362430148657,312.7036302354601,7168
17,1,1873.6235182328658,1873.6235968295011,54842,1240.2390590122768,1240.239128766741,6863
17,2,207.64655082009057,207.6465570345792,54842,160.4257550920759,160.4257594517299,6863
18,1,1008.8095657181566,1008.8095942866194,54712,2746.30654296875,2746.306654575893,6948
