Day,Epoch,Train Loss,Train MSE,Train N,Test Loss,Test MSE,Test N
0,-1,0,0,0,167654.94068287036,167654.9482060185,21582
0,1,8428.565529438165,8428.565889743659,166226,16327.767361111111,16327.767849392361,21582
0,2,321.5511372364484,321.55114524181073,166226,17911.461977358216,17911.462330005786,21582
0,3,245.175267632191,245.17527557336368,166226,17669.09019639757,17669.090386284723,21582
0,4,244.40529649074261,244.40530333152185,166226,18678.915183738427,18678.915789568866,21582
0,5,243.07987325925095,243.07987941228427,166226,18595.78988534433,18595.790066189234,21582
0,6,240.87485917714926,240.87486557777112,166226,15990.667019314236,15990.667317708334,21582
0,7,247.86239265478574,247.8623979458442,166226,15933.021999782986,15933.022524233218,21582
0,8,242.22683247236105,242.2268379834982,166226,17635.13830114294,17635.13902452257,21582
0,9,238.97774516619168,238.9777511358261,166226,16466.024224175348,16466.024603949652,21582
0,10,246.0399925983869,246.0399983204328,166226,15819.529305917245,15819.529559100116,21582
1,1,998.2183188019897,998.2183421841628,55400,14684.127658420139,14684.127875434027,7139
1,2,293.1888687902217,293.18887381244906,55400,17491.89089626736,17491.89133029514,7139
2,1,801.1429067472133,801.1429137651928,57339,9178.486694335938,9178.487060546875,7000
2,2,219.60032725583386,219.60033076482367,57339,10041.26353624132,10041.264241536459,7000
3,1,1104.859968642114,1104.8599858888438,56656,8401.895798141892,8401.896062077703,7228
3,2,224.84233224895638,224.8423376486335,56656,8236.955988703547,8236.956252639358,7228
4,1,824.7148614491678,824.714894843824,59325,5330.676434491132,5330.676388302365,7297
4,2,221.35919746887,221.35920419917764,59325,4213.658189928209,4213.658374683277,7297
5,1,713.3383160686801,713.3383384383612,61616,4400.573743318257,4400.573846114309,7537
5,2,232.69393432024614,232.6939424434526,61616,2320.1018227025083,2320.1017937911183,7537
6,1,983.6467245454699,983.6467598942006,63703,1041.1133744089227,1041.1133904708058,7504
6,2,213.99490014437973,213.99490406670168,63703,1170.883305599815,1170.883374665913,7504
